4502474891-30,Create Purchase Order item,2017.02.01 08:21:15,USER 499,,
4502489180-20,Create Purchase Order item,20170227 04:00:30,E-USER,,
4502579405-50,Create Purchase Order item,20170901 10:11:05,USER 243,,
4502585364-20,Create Purchase Order item,20170913 14:27:31,USER 433,,
4502614345-30,Create Purchase Order item,20171113 08:14:36,USER 14,,
4502618704-250,Create Purchase Order item,20171121 05:00:40,E-USER,,
4502460190-10,Create Purchase Order item,20170103 08:31:36,USER 12,,
4502491246-140,Create Purchase Order item,20170228 15:00:25,E-USER,,
4502562904-80,Create Purchase Order item,20170721 09:00:15,E-USER,,
4502502595-60,Create Purchase Order item,20170321 10:41:33,USER 433,,
4502537727-110,Create Purchase Order item,20170529 15:00:11,E-USER,,
4502547419-10,Create Purchase Order item,20170616 13:45:49,USER 164,,
4502632685-20,Create Purchase Order item,20171219 08:29:08,USER 23,,
4502473709-10,Create Purchase Order item,20170130 11:37:30,USER 5,,
4502565300-10,Create Purchase Order item,20170728 07:48:07,USER 265,,
4502600270-20,Create Purchase Order item,20171012 15:41:21,USER 53,,
4502635989-10,Create Purchase Order item,20171228 09:08:06,USER 346,,
4502538036-30,Create Purchase Order item,20170530 09:24:40,E-USER,,
4502469085-60,Create Purchase Order item,20170120 09:08:19,USER 433,,
4502476882-50,Create Purchase Order item,20170206 07:45:30,USER 14,,
4502508728-50,Create Purchase Order item,20170331 09:28:03,USER 177,,
4502609782-50,Create Purchase Order item,20171102 05:00:34,E-USER,,
4502566824-30,Create Purchase Order item,20170802 06:00:17,E-USER,,
4502493300-10,Create Purchase Order item,20170306 09:47:27,USER 518,,
4502505332-20,Create Purchase Order item,20170324 10:45:46,USER 518,,
4502545289-60,Create Purchase Order item,20170613 11:29:08,USER 14,,
4502496973-20,Create Purchase Order item,20170309 15:00:46,E-USER,,
4502474780-110,Create Purchase Order item,20170201 05:00:10,E-USER,,
4502598923-190,Create Purchase Order item,20171011 09:08:06,USER 458,,
4502539822-100,Create Purchase Order item,20170601 14:00:18,E-USER,,
4502459481-80,Create Purchase Order item,20170102 06:32:04,USER 518,,
4502543446-110,Purchase Requisition Creation,20170609 00:00:00,USER 442,,
4502634829-10,Purchase Requisition Creation,20171220 00:00:00,USER 150,,
4502597400-90,Purchase Requisition Creation,20171007 00:00:00,USER 150,,
4502578733-30,Purchase Requisition Creation,20170830 00:00:00,USER 300,,
4502485643-20,Purchase Requisition Creation,20170220 00:00:00,USER 406,,
4502471394-10,Purchase Requisition Creation,20170124 00:00:00,USER 296,,
4502481524-20,Purchase Requisition Creation,20170204 00:00:00,USER 23,,
4502472835-10,Purchase Requisition Creation,20170126 00:00:00,USER 363,,
4502509419-130,Purchase Requisition Creation,20170331 00:00:00,USER 443,,
4502602708-90,Purchase Requisition Creation,20171018 00:00:00,USER 442,,
4502614247-30,Purchase Requisition Creation,20171112 00:00:00,USER 328,,
4502462977-60,Purchase Requisition Creation,20170106 00:00:00,USER 442,,
4502497596-10,Purchase Requisition Creation,20170310 00:00:00,USER 147,,
4502587040-20,Purchase Requisition Creation,20170908 00:00:00,USER 442,,
4502539822-260,Purchase Requisition Creation,20170601 00:00:00,USER 355,,
4502537192-30,Purchase Requisition Creation,20170528 00:00:00,USER 23,,
4502598016-100,Purchase Requisition Creation,20171010 00:00:00,USER 23,,
4502618808-20,Purchase Requisition Creation,20171121 00:00:00,USER 150,,
4502625754-10,Purchase Requisition Creation,20171204 00:00:00,USER 146,,
4502619532-110,Purchase Requisition Creation,20171122 00:00:00,USER 23,,
4502554038-70,Purchase Requisition Creation,20170629 00:00:00,USER 328,,
4502460119-240,Purchase Requisition Creation,20170101 00:00:00,USER 328,,
4502583058-10,Purchase Requisition Creation,20170909 00:00:00,USER 23,,
